,Unnamed: 0,app_id,amnt,currency,operation_kind,card_type,operation_type,operation_type_group,ecommerce_flag,payment_system,income_flag,mcc,country,city,mcc_category,day_of_week,hour,days_before,weekofyear,hour_diff,transaction_number,product,flag
0,0,0,0.4654254330729043,1,4,98,4,2,3,7,3,2,1,37,2,4,19,351,34,-1,1,3,0
1,1,0,0.0,1,2,98,7,1,3,7,3,2,1,49,2,4,20,351,34,0,2,3,0
2,2,0,0.5211518246354306,1,2,98,3,1,3,7,3,2,1,37,2,4,20,351,34,0,3,3,0
3,3,0,0.3560783538863182,1,1,5,2,1,3,7,3,10,1,49,7,2,0,348,34,52,4,3,0
4,4,0,0.0,1,2,98,7,1,3,7,3,2,1,49,2,4,16,337,53,280,5,3,0
5,5,0,0.5168336566977262,1,2,98,3,1,3,7,3,2,1,37,2,4,16,337,53,0,6,3,0
6,6,0,0.2589723745861205,1,2,98,3,1,1,6,1,2,1,2,2,2,18,334,53,75,7,3,0
7,7,0,0.2975890792412704,1,2,98,3,1,1,6,1,2,1,2,2,2,19,327,52,169,8,3,0
8,8,0,0.3560783538863182,1,1,5,2,1,1,2,1,10,1,49,7,7,13,326,52,18,9,3,0
9,9,0,0.3335471947477638,1,1,5,2,1,1,2,1,10,1,49,7,7,13,326,52,0,10,3,0
10,10,0,0.4732661902499508,1,2,98,3,1,1,6,1,2,1,2,2,2,15,320,50,146,11,3,0
11,11,0,0.4143443875134992,1,1,5,2,1,1,2,1,10,1,49,7,5,14,317,39,71,12,3,0
12,12,0,0.2589723745861205,1,2,98,3,1,1,6,1,2,1,2,2,3,20,315,39,54,13,3,0
13,13,0,0.4654254330729043,1,2,98,7,1,1,1,1,2,1,49,2,6,15,304,48,259,14,3,0
14,14,0,0.4968216419774925,1,2,98,3,1,1,6,1,2,1,2,2,5,19,303,48,28,15,3,0
15,15,0,0.2642700694311805,1,3,98,5,1,1,6,1,9,1,1,2,5,21,303,48,2,16,3,0
16,16,0,0.2975890792412704,1,2,98,3,1,1,6,1,2,1,2,2,2,19,299,48,94,17,3,0
17,17,0,0.2204757892570064,1,1,5,2,1,1,2,1,1,1,49,1,4,7,295,46,83,18,3,0
18,18,0,0.3363445046218684,1,2,5,3,1,1,6,1,2,1,2,2,4,19,295,46,12,19,3,0
